UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVICE AREA,REGULATORY STATUS
15173,50389,Port Allen,West Baton Rouge,LA,70767,,SERC,32411,Entergy Gulf States Inc,NR
15174,50623,Gaviota Oil Plant,Santa Barbara,CA,93117,,WECC,324,Southern California Edison Co,NR
15180,56517,Pocahontas Generation,Pocahontas,IA,50574,Self contained,MRO,22,,RE
15202,762,Ponca,Kay,OK,74601,Municipality,SPP,22,,RE
15202,2997,Ponca Diesel,Kay,OK,74601,Municipality,SPP,22,,RE
15213,50741,Pontook Hydro Facility,Coos,NH,3588,Androscoggin River,NPCC,22,Public Service Co of NH,NR
15222,55203,Ponnequin Phase 1,Weld,CO,82001,,WECC,22,Public Service Co of Colorado,NR
15229,7392,Poplar Bluff Generating Station,Butler,MO,63901,Municipality,SPP,22,,RE
15230,55697,Mirant Portage County LLC,Portage,WI,54467,Wisconsin River,,22,WPS Energy Services,NR
15237,50341,PCS Nitrogen Fertilizer LP,Iberville,LA,70734,PLANT COOLING WATER SYSTEM,SERC,325,Entergy Gulf States Inc,NR
15246,1851,Frank Jenkins,Ionia,MI,48875,Municipality,RFC,22,,RE
15248,3044,Bull Run,Clackamas,OR,97055,Big Sandy River,WECC,22,,RE
15248,3045,Faraday,Clackamas,OR,97023,Clackamas River,WECC,22,,RE
15248,3047,North Fork,Clackamas,OR,97023,Clackamas River,WECC,22,,RE
15248,3048,Pelton,Jefferson,OR,97741,Deschutes River,WECC,22,,RE
15248,3049,River Mill,Clackamas,OR,97023,Clackamas River,WECC,22,,RE
15248,3050,Round Butte,Jefferson,OR,97741,Deschutes River,WECC,22,,RE
15248,3053,Sullivan,Clackamas,OR,97068,Willamette River,WECC,22,,RE
15248,4213,PHP 1,Multnomah,OR,97055,Bull Run River,WECC,22,,RE
15248,4214,PHP 2,Clackamas,OR,97055,Bull Run River,WECC,22,,RE
15248,6106,Boardman,Morrow,OR,97818,Carty Reservoir/Columbia River,WECC,22,,RE
15248,6505,Oak Grove,Clackamas,OR,97023,Oak Grove Fork Of Clackamas Ri,WECC,22,,RE
15248,7350,Coyote Springs,Morrow,OR,97818,Wells,WECC,22,,RE
15248,8073,Beaver,Columbia,OR,97016,Columbia River,WECC,22,,RE
15248,56227,Port Westward,Columbia,OR,97016,Columbia River,WECC,22,,RE
15248,56485,Biglow Canyon Wind Farm,Sherman,OR,97065,,WECC,22,,RE
15253,54592,Massena Power Plant,St. Lawrence,NY,13662,St. Lawarence River,NPCC,22,Niagara Mohawk Power Corp,NR
15262,50637,Potlatch Idaho Pulp Paper,Nez Perce,ID,83501,Clearwater River,WECC,32213,Avista Corp,NR
15262,50638,Potlatch Arkansas Pulp Paper,Desha,AR,71630,Mississippi River,SERC,32213,Entergy Arkansas Inc,NR
15262,50640,Potlatch Southern Wood Products,Bradley,AR,71671,"Municipality, Wells",SERC,321,Entergy Gulf States Inc,NR
15274,603,Benning,District of Columbia,DC,20019,Anacostia River,RFC,22,Potomac Electric Power Co,NR
15274,604,Buzzard Point,District of Columbia,DC,20024,,RFC,22,Potomac Electric Power Co,NR
15276,3139,PPL Martin Creek LLC Allentown,Lehigh,PA,18013,,RFC,22,PPL Electric Utilities Corp,NR
15276,3142,PPL Martins Creek LLC Fishbach,Schuylkill,PA,17901,,RFC,22,PPL Electric Utilities Corp,NR
15276,3143,PPL Martins Creek Harrisburg,Union,PA,17104,,RFC,22,PPL Electric Utilities Corp,NR
15276,3144,PPL Martins Creek LLC Harwood,Lehigh,PA,18201,,RFC,22,PPL Electric Utilities Corp,NR
15276,3146,PPL Martins Creek LLC Jenkins,Luzerne,PA,18703,,RFC,22,PPL Electric Utilities Corp,NR
15276,3147,PPL Martins Creek LLC Lock Haven,Clinton,PA,17745,,RFC,22,PPL Electric Utilities Corp,NR
15276,3148,PPL Martins Creek,Northampton,PA,18013,Deleware River,RFC,22,PPL Electric Utilities Corp,NR
15276,3153,PPL HW Wallenpaupack,Northampton,PA,18428,Lackawaxen River,RFC,22,PPL Electric Utilities Corp,NR
15276,3154,PPL Martins Creek LLC West Shore,Cumberland,PA,17011,,RFC,22,PPL Electric Utilities Corp,NR
15276,3155,PPL Martins Creek LLC Williamsport,Union,PA,17701,,RFC,22,PPL Electric Utilities Corp,NR
15282,50850,OLS Energy Chino,San Bernardino,CA,91710,Municipality,WECC,22,Southern California Edison Co,NR
15282,50851,OLS Energy Camarillo,Ventura,CA,93012,Municipality,WECC,22,Southern California Edison Co,NR
15286,50323,Power Investments,Jerome,ID,83338,Northside Canal Hydroelectric,WECC,22,Idaho Power Co,NR
15293,7883,Powell Valley,Hancock,TN,37765,,SERC,22,,RE
15296,88,Ashokan,Ulster,NY,12401,Ashokan Reservoir,NPCC,22,,RE
15296,650,Kensico,Westchester,NY,10595,Kensico Reservoir,NPCC,22,,RE
15296,808,Jarvis (Hinckley),Oneida,NY,13352,Hinckley Reservoir,NPCC,22,,RE
15296,2483,Neversink,Sullivan,NY,12740,Neversink Reservoir,NPCC,22,,RE
15296,2491,Charles Poletti,Queens,NY,11105,East River,NPCC,22,,RE
15296,2627,Grahamsville,Sullivan,NY,12740,Pepatcon Reservoir,NPCC,22,Central Hudson Gas & Elec Corp,NR
15296,2685,Crescent,Albany,NY,12047,Mohawk River,NPCC,22,,RE
15296,2686,Vischer Ferry,Saratoga,NY,12148,Mohawk River,NPCC,22,,RE
15296,2691,Blenheim Gilboa,Schoharie,NY,12076,Schoharie Creek,NPCC,22,,RE
15296,2692,Lewiston Niagara,Niagara,NY,14092,Forebay Of Robert Moses Niagar,NPCC,22,,RE
15296,2693,Robert Moses Niagara,Niagara,NY,14092,Niagara River,NPCC,22,,RE
15296,2694,Robert Moses Power Dam,St Lawrence,NY,13662,St Lawrence River,NPCC,22,,RE
15296,7314,Richard M Flynn,Suffolk,NY,11742,Wells,NPCC,22,,RE
15296,7909,Vernon Boulevard,Queens,NY,11427,N/A,NPCC,22,,RE
15296,7910,Joseph J. Seymour Power Project,Kings,NY,11232,N/A,NPCC,22,,RE
15296,7912,Brentwood,Suffolk,NY,11717,N/A,NPCC,22,,RE
15296,7913,Hell Gate,Bronx,NY,10454,N/A,NPCC,22,,RE
15296,7914,Harlem River Yard,Bronx,NY,10454,N/A,NPCC,22,,RE
15296,7915,North 1st,Kings,NY,11211,N/A,NPCC,22,,RE
15296,8053,Pouch,Richmond,NY,10305,,NPCC,22,,RE
15296,56196,500MW CC,Queens,NY,11105,N/A,NPCC,22,,RE
15298,2181,Black Eagle,Cascade,MT,59404,Missouri River,WECC,22,NorthWestern Energy,NR
15298,2182,Cochrane,Cascade,MT,59404,Missouri River,WECC,22,NorthWestern Energy,NR
15298,2185,Hauser,Cascade,MT,59602,Missouri River,WECC,22,NorthWestern Energy,NR
15298,2186,Holter,Cascade,MT,59648,Missouri River,WECC,22,NorthWestern Energy,NR
15298,2187,J E Corette Plant,Yellowstone,MT,59101,Yellowstone River,WECC,22,NorthWestern Energy,NR
15298,2188,Kerr,Lake,MT,59860,Flathead River,WECC,22,USBIA-Mission Valley Power,NR
15298,2191,Morony,Cascade,MT,59404,Missouri River,WECC,22,NorthWestern Energy,NR
15298,2192,Mystic,Stillwater,MT,59028,Mystic Lake,WECC,22,NorthWestern Energy,NR
15298,2193,Rainbow,Cascade,MT,59404,Missouri River,WECC,22,NorthWestern Energy,NR
15298,2194,Ryan,Cascade,MT,59404,Missouri River,WECC,22,NorthWestern Energy,NR
15298,2195,Thompson Falls,Sanders,MT,59873,Clark Fork River,WECC,22,NorthWestern Energy,NR
15298,6076,Colstrip,Rosebud,MT,59323,Yellowstone River,WECC,22,NorthWestern Energy,NR
15298,6422,Madison,Madison,MT,59729,Madison River,WECC,22,NorthWestern Energy,NR
15300,52176,C R Wing Cogen Plant,Howard,TX,79720,Colo.River Municipal Water Dis,ERCOT,22,TXU Electric Delivery Company,NR
15315,55785,Island Station,Ramsey,MN,55102,Well,MRO,22,Northern States Power Co,NR
15320,50148,Linde Wilmington,Los Angeles,CA,90744,Municipal,WECC,325,Los Angeles City of,NR
15321,1317,Pratt,Pratt,KS,67124,Municipal,SPP,22,,RE
15321,7447,Pratt 2,Pratt,KS,67124,Municipal,SPP,22,,RE
15322,55787,PPL Shoreham Energy LLC,Suffolk,NY,11719,Municipality,NPCC,22,Long Island Power Authority,NR
15330,55856,Prairie State Generatng Station,Washington,IL,62257,Kaskaskia River (Cooling),SERC,22,Dynegy Inc,NR
15338,55624,PPL Hatfield Generating Facility,Montgomery,PA,19440,,,22,PPL Electric Utilities Corp,NR
15343,55096,Portside Energy,Porter,IN,46368,Lake Michigan,RFC,22,Northern Indiana Pub Serv Co,NR
15348,2004,Preston,Fillmore,MN,55965,Municipality,MRO,22,,RE
15349,1176,Preston,Jackson,IA,52069,Municipality,MRO,22,,RE
15359,52119,Primary Childrens Medical Center,Salt Lake,UT,84113,Municipality,WECC,622,Rocky Mountain Power Inc,NR
15371,7501,Richard F Wheeler,Worcester,MA,1541,N/A,NPCC,22,,RE
15375,50464,Oxnard,Ventura,CA,93030,City of Oxnard,WECC,322122,Southern California Edison Co,NR
15377,1177,Primghar,O Brien,IA,51245,N/A,MRO,22,,RE
15380,50060,Prince Georges County Brown Station Road,Prince Georges,MD,20774,Municipality,RFC,92,Potomac Electric Power Co,NR
15380,55964,PG Cnty Brown Station Road II,Prince Georges,MD,20774,Municipality,RFC,92,Potomac Electric Power Co,NR
15381,7764,MPC Generating,Walton,GA,30656,Municipal,SERC,22,Walton Electric Member Corp,NR
15381,55128,Walton County Power LLC,Walton,GA,30656,Municipal,SERC,22,Georgia Power Co,NR
15381,55332,Washington County,Washington,GA,31082,Wells,SERC,22,Georgia Power Co,NR
15381,55406,Effingham County Power Project,Effingham,GA,31326,Municipality,SERC,22,Savannah Electric & Power Co,NR
15387,2005,Princeton,Mille Lacs,MN,55371,Municipality,MRO,22,,RE
15388,957,Princeton,Bureau,IL,61356,Municipality,SERC,22,,RE
15394,50463,Procter & Gamble Mehoopany Mill,Wyoming,PA,18629,Susquenna River,RFC,322122,Pennsylvania Electric Co,NR
15399,55871,Klondike Wind Power,Sherman,OR,97065,,WECC,22,"Wasco Electric Coop, Inc",NR
15399,56112,Mountain View III,Riverside,CA,92258,,WECC,22,Pacific Gas & Electric Co,NR
15399,56172,Flying Cloud Power Partners LLC,Dickinson,IA,51347,,MRO,22,Interstate Power and Light Co,NR
15399,56173,Colorado Green Holdings LLC,Prowers,CO,81052,,WECC,22,Public Service Co of Colorado,NR
15399,56174,Moraine Wind LLC,Pipestone,MN,56186,,MRO,22,Northern States Power Co,NR
15399,56175,Phoenix Wind Power LLC,Riverside,CA,92258,,WECC,22,Southern California Edison Co,NR
15399,56296,Trimont Area Wind Farm,Martin,MN,56172,,MRO,22,Great River Energy,NR
15399,56303,Elk River Wind,Butler,KS,67072,,SPP,22,Westar Energy Inc,NR
15399,56359,Klondike Windpower II,Sherman,OR,97065,,WECC,22,Bonneville Power Admin,NR
15399,56360,Leaning Juniper,Gilliam,OR,97812,,WECC,22,Bonneville Power Admin,RE
15399,56361,Big Horn Wind Project,Klickitat,WA,99322,,WECC,22,Bonneville Power Admin,NR
15399,56362,Shiloh I Wind Project,Solano,CA,94571,,WECC,22,Pacific Gas & Electric Co,NR
15399,56369,Casselman,Somerset,PA,,,RFC,22,PPM Energy Inc,NR
15399,56459,MinnDakota Wind LLC,Brookings,SD,57006,,MRO,22,Northern States Power Co,NR
15399,56460,Twin Buttes Wind Project,Bent,CO,81052,,WECC,22,Public Service Co of Colorado,NR
15399,56468,Klondike Windpower III,Sherman,OR,97065,,WECC,22,Bonneville Power Admin,NR
15400,50456,Procter & Gamble Cincinnati Plant,Hamilton,OH,45217,Wells,RFC,339,The Cincinnati Gas & Electric Company,NR
15404,50453,Kansas City,Wyandotte,KS,66105,Municipality,SPP,325,Kansas City City of,NR
15430,10033,Greater Detroit Resource Recovery,Wayne,MI,48211,Municipality,RFC,514199,Detroit Edison Co,NR
15434,54425,Project Orange Associates LP,Onondaga,NY,13202,Municipal,NPCC,611,Niagara Mohawk Power Corp,NR
15440,3245,Providence,Providence,RI,2857,Scituate Reservoir,NPCC,22,,RE
15444,3686,Provo,Utah,UT,84601,Provo River,WECC,22,,RE
15452,568,Bridgeport Station,Fairfield,CT,6604,Bridgeport Harbor,NPCC,22,United Illuminating Co,NR
15452,6156,New Haven Harbor,New Haven,CT,6512,New Haven Harbor,NPCC,22,United Illuminating Co,NR
15458,3145,PPL Holtwood,Lancaster,PA,17532,Octoraro Crek,RFC,22,PPL Electric Utilities Corp,NR
15461,55671,PPL West Earl Peaking Facility,Lancaster,PA,17532,,,22,PPL Electric Utilities Corp,NR
15465,55523,PSEG Morristown Energy Facility,Shelby,IN,46161,,,22,PSI Energy Inc,NR
15466,464,Alamosa,Alamosa,CO,81101,,WECC,22,,RE
15466,465,Arapahoe,Denver,CO,80223,South Platte River,WECC,22,,RE
15466,467,Cabin Creek,Clear Creek,CO,80444,South Clear Creek,WECC,22,,RE
15466,468,Cameo,Mesa,CO,81526,Colorado River,WECC,22,,RE
15466,469,Cherokee,Adams,CO,80216,South Platte River,WECC,22,,RE
15466,470,Comanche,Pueblo,CO,81006,Arkansas River,WECC,22,,RE
15466,471,Fruita,Mesa,CO,81521,N/A,WECC,22,,RE
15466,472,Georgetown,Clear Creek,CO,80444,South Clear Creek,WECC,22,,RE
15466,473,Palisade,Mesa,CO,81526,Colorado River,WECC,22,,RE
15466,474,Salida,Chaffee,CO,81201,South Arkansas River,WECC,22,,RE
15466,476,Shoshone,Garfield,CO,81601,Colorado River,WECC,22,,RE
15466,477,Valmont,Boulder,CO,80302,Boulder Creek,WECC,22,,RE
15466,478,Zuni,Denver,CO,80204,South Platte River,WECC,22,,RE
15466,525,Hayden,Routt,CO,81639,Yampa River,WECC,22,,RE
15466,6112,Fort St Vrain,Weld,CO,80651,So Platte River/St Vrain Creek,WECC,22,,RE
15466,6206,Tacoma,La Plata,CO,81301,Electra Lake,WECC,22,,RE
15466,6207,Ames Hydro,San Miguel,CO,81426,Trout Lake & Lake Hope,WECC,22,,RE
15466,6248,Pawnee,Morgan,CO,80723,South Platte River,WECC,22,,RE
15466,7937,Ponnequin,Weld,CO,81201,,WECC,22,,RE
15466,8067,Fort Lupton,Adams,CO,80621,N/A,WECC,22,,RE
15470,1001,Cayuga,Vermillion,IN,47900,Wabash River,RFC,22,,RE
15470,1002,Connersville,Fayette,IN,47300,N/A,RFC,22,,RE
15470,1004,Edwardsport,Knox,IN,47500,White River,RFC,22,,RE
15470,1005,Markland,Switzerland,IN,47000,Ohio River,RFC,22,,RE
15470,1006,Miami Wabash,Wabash,IN,47000,N/A,RFC,22,,RE
15470,1007,Noblesville,Hamilton,IN,46060,White River,RFC,22,,RE
15470,1008,R Gallagher,Floyd,IN,47200,Ohio River,RFC,22,,RE
15470,1010,Wabash River,Vigo,IN,47900,Wabash River,RFC,22,,RE
15470,6113,Gibson,Gibson,IN,47665,Gibson Lake,RFC,22,,RE
15470,7228,NA 1,NOT IN FILE,IN,0,N/A,RFC,22,,RE
15470,7763,Henry County,Henry,IN,47362,,RFC,22,,RE
15470,55110,Madison,Butler,OH,45067,,RFC,22,,RE
15470,55224,Wheatland Generating Facility,Knox,IN,47597,Black Beauty Lake,RFC,22,,RE
15472,2354,Amoskeag,Hillsborough,NH,3102,Merrimack River,NPCC,22,,RE
15472,2355,Ayers Island,Grafton,NH,3222,Pemigewasset River,NPCC,22,,RE
15472,2356,Eastman Falls,Merrimack,NH,3235,Pemigewasset River,NPCC,22,,RE
15472,2357,Garvins Falls,Merrimack,NH,3301,Merrimack River,NPCC,22,,RE
15472,2358,Gorham,Coos,NH,3581,Androscoggin River,NPCC,22,,RE
15472,2359,Hooksett,Merrimack,NH,3106,Merrimack River,NPCC,22,,RE
15472,2360,Jackman,Hillsborough,NH,3244,North Branch Contoocook River,NPCC,22,,RE
15472,2362,Lost Nation,Coos,NH,3852,,NPCC,22,,RE
15472,2364,Merrimack,Merrimack,NH,3301,Merrimack River,NPCC,22,,RE
15472,2367,Schiller,Rockingham,NH,3801,Piscataqua River,NPCC,22,,RE
15472,2368,Smith,Coos,NH,3570,Androscoggin River,NPCC,22,,RE
15472,2369,White Lake,Carroll,NH,3886,,NPCC,22,,RE
15472,3750,Canaan,Essex,VT,5903,Connecticut River,NPCC,22,,RE
15472,8002,Newington,Rockingham,NH,3801,Piscataqua River,NPCC,22,,RE
15473,2447,Las Vegas,San Miguel,NM,87701,Wells,WECC,22,,RE
15473,2450,Reeves,Bernalillo,NM,87113,Wells,WECC,22,,RE
15473,2451,San Juan,San Juan,NM,87421,River,WECC,22,,RE
15473,2475,Algodones,Sandoval,NM,87001,Wells,WECC,22,,RE
15473,7967,Lordsburg Generating,Hidalgo,NM,88045,Wells,WECC,22,,RE
15473,55210,Afton Generating Station,Dona Ana,NM,88044,Well,WECC,22,,RE
15473,55252,Eddy County Generating Station,Eddy,NM,,,WECC,22,,RE
15473,55343,Luna Energy Facility,Luna,NM,88030,Wells,WECC,22,,RE
15473,55802,Valencia Energy Facility,Valencia County,NM,87002,Rio Grande Utility Corp,WECC,22,Public Service Co of NM,NR
15474,127,Oklaunion,Wilbarger,TX,76373,Lake,ERCOT,22,,RE
15474,2963,Northeastern,Rogers,OK,74053,Oologah Resr & Verdi,SPP,22,,RE
15474,2964,Southwestern,Caddo,OK,73094,Ft Cobb Resr & Washi,SPP,22,,RE
15474,2965,Tulsa,Tulsa,OK,74102,Arkansas River,SPP,22,,RE
15474,2966,Weleetka,Okfuskee,OK,74880,,SPP,22,,RE
15474,4940,Riverside,Tulsa,OK,74037,Arkansas River,SPP,22,,RE
15474,8059,Comanche,Comanche,OK,73501,City Of Lawton Treat,SPP,22,,RE
15476,55517,PPL Wallingford Energy LLC,New Haven,CT,6460,Municipality,NPCC,22,Connecticut Light & Power Co,NR
15478,2410,PSEG Salem Generating Station,Salem,NJ,8038,Delaware River,RFC,22,Public Service Elec & Gas Co,NR
15478,6118,PSEG Hope Creek Generating Station,Salem,NJ,8038,Delaware River,RFC,22,Public Service Elec & Gas Co,NR
15491,55310,Meriden Power Project,New Haven,CT,6450,Connecticut River,NPCC,22,Northeast Utilities,NR
15493,55437,Putnam Energy Center,Putman,IN,46120,Cloverdale Municipality,,22,PSI Energy Inc,NR
15500,99,Frederickson,Pierce,WA,98446,City of Tacoma,WECC,22,,RE
15500,607,Fredonia,Skagit,WA,98233,Skagit PUD,WECC,22,,RE
15500,3853,Crystal Mountain,Pierce,WA,98446,None,WECC,22,,RE
15500,3854,Electron,Pierce,WA,98360,Puyallup River,WECC,22,,RE
15500,3855,Lower Baker,Skagit,WA,98237,Baker River,WECC,22,,RE
15500,3860,Snoqualmie,King,WA,98065,Snoqualmie River,WECC,22,,RE
15500,3861,Upper Baker,Whatcom,WA,98237,Baker River,WECC,22,,RE
15500,3862,White River,Pierce,WA,98390,White River,WECC,22,,RE
15500,6120,Whitehorn,Whatcom,WA,98230,Whatcom PUD,WECC,22,,RE
15500,7867,Snoqualmie 2,King,WA,98065,Snoqualmie,WECC,22,,RE
15500,7870,Encogen,Whatcom,WA,98225,Lake Whatcom,WECC,22,,RE
15500,56255,Hopkins Ridge Wind,Columbia,WA,99328,,WECC,22,,RE
15500,56322,Wild Horse Wind,Kittitas,WA,98926,,WECC,22,,RE
15501,55713,PPL Eden Generating Facility,Lancaster,PA,17566,,,22,PPL Electric Utilities Corp,NR
15509,54443,North Riley,Gaines,TX,79360,,SPP,211,Southwestern Public Service Co,NR
15519,55772,P.E.R.C.,Pierce,WA,98375,N/A,WECC,22,Puget Sound Energy Inc,NR
15526,50240,Purdue University,Tippecanoe,IN,47907,Wells,RFC,611,PSI Energy Inc,NR
15534,3149,PPL Montour,Montour,PA,17884,Susquehanna River,RFC,22,PPL Electric Utilities Corp,NR
15537,3140,PPL Brunner Island,York,PA,17370,Susquehanna River,RFC,22,PPL Electric Utilities Corp,NR
15591,50221,R J Reynolds Tobaccoville Utility Plant,Forsyth,NC,27050,Municipality,SERC,3122,Duke Energy Corporation,NR
15597,56079,STEC-S LLC,Arkansas,AR,72160,Well & Municipality,SERC,22,Entergy Arkansas Inc,NR
15609,50201,Rabun Gap Cogen Facility,Rabun,GA,30568,Little Tennessee River,SERC,315,Georgia Power Co,NR
15619,3827,Radford,Pulaski,VA,24141,Little River,RFC,22,,RE
15642,55246,Ramapo Energy LP,Rockland,NY,10901,United Water New York,NPCC,22,Consolidated Edison Co-NY Inc,NR
15686,958,Rantoul,Champaign,IL,61866,,RFC,22,,RE
15694,52054,Rapidan Hydro Facility,Blue Earth,MN,56001,Blue Earth,MRO,22,Northern States Power Co,NR
15698,2468,Raton,Colfax,NM,87740,Municipality,WECC,22,,RE
15708,55179,Rathdrum Power LLC,Kootenai,ID,83858,Well,WECC,22,Bonneville Power Admin,NR
15726,10560,Rayonier Jesup Mill,Wayne,GA,31545,Wells,SERC,322,Georgia Power Co,NR
15726,10562,Rayonier Fernandina Mill,Nassau,FL,32034,Groundwater Wells,FRCC,322,Florida Public Utilities Co,NR
15728,1456,Rayne,Acadia,LA,70578,Municipality,SPP,22,,RE
15734,54337,NRG Energy San Diego,San Diego,CA,92101,N/A,WECC,22,San Diego Gas & Electric Co,NR
15743,10110,Frito-Lay Cogen Plant,Kern,CA,93314,Wells,WECC,311,Pacific Gas & Electric Co,NR
15772,959,Red Bud,Randolph,IL,62278,Municipality,SERC,22,,RE
15773,2299,Red Cloud,Webster,NE,68970,Municipality,MRO,22,,RE
15776,7294,Central Energy Plant,Orange,FL,32830,Municipality,FRCC,22,,RE
15783,7189,Whiskeytown,Shasta,CA,96001,Whiskeytown Lake,WECC,22,,RE
15783,7307,Redding Power,Shasta,CA,96001,City Of Redding,WECC,22,,RE
15787,50267,Redlands Water & Power,Mesa,CO,81503,Gunnison River,WECC,22,Public Service Co of Colorado,NR
15793,2009,Redwood Falls,Redwood,MN,56283,Redwood River,MRO,22,,RE
15793,7982,South Generation,Redwood,MN,56283,Municipality,MRO,22,,RE
15795,50700,Lilliwaup Falls Generating,Mason,WA,98555,Lilliwaup Creek,WECC,22,PUD No 1 of Mason County,NR
15824,50225,Regional Waste Systems,Cumberland,ME,4102,Portland/Cooling Tower,NPCC,22,Central Maine Power Co,NR
15830,345,Mandalay,Ventura,CA,93035,Pacific Ocean Via Channel,WECC,22,Southern California Edison Co,NR
15832,55644,Chula Vista II,San Diego,CA,91911,,WECC,22,San Diego Gas & Electric Co,NR
15836,331,Etiwanda Generating Station,San Bernardino,CA,91739,Wells & Reclaim Water,WECC,22,Southern California Edison Co,NR
15844,329,Coolwater,San Bernardino,CA,92327,Wells,WECC,22,Southern California Edison Co,NR
15850,8076,Ellwood,Santa Barbara,CA,93117,N/A,WECC,22,Southern California Edison Co,NR
15851,55731,Arrow Canyon Generating Station,Clark,NV,89040,Wells,WECC,22,Nevada Power Company,NR
15860,1038,Rensselaer,Jasper,IN,47978,Municipality,RFC,22,,RE
15864,2385,Werner,Middlesex,NJ,8879,,RFC,22,Jersey Central Power & Lt Co,NR
15864,2390,Sayreville,Middlesex,NJ,8872,Rariton River,RFC,22,Jersey Central Power & Lt Co,NR
15864,2393,Gilbert,Hunterdon,NJ,8848,Delaware River,RFC,22,Jersey Central Power & Lt Co,NR
15864,8227,Glenn Gardner,Hunterdon,NJ,8826,,RFC,22,Jersey Central Power & Lt Co,NR
15873,3118,Conemaugh,Indiana,PA,15944,Conemaugh River,RFC,22,Pennsylvania Electric Co,NR
15873,3136,Keystone,Armstrong,PA,15774,Crooked Creek,RFC,22,Pennsylvania Electric Co,NR
15880,54704,CenterPoint Energy Field Svs.,Bossier,LA,71037,Wells,SPP,324,Southwestern Electric Power Co,NR
15881,55692,Signal Peak Generating Project,Pinal,AZ,85222,Colorado River,WECC,22,Salt River Project,NR
15908,350,Ormond Beach,Ventura,CA,93033,Pacific Ocean,WECC,22,Southern California Edison Co,NR
15912,55054,Biodyne Pontiac,Livingston,IL,61764,,RFC,22,Commonwealth Edison Co,NR
15912,55055,Biodyne Beecher,Will,IL,60401,,MRO,22,Commonwealth Edison Co,NR
15912,55056,Biodyne Congress,Cook,IL,60160,,RFC,22,Commonwealth Edison Co,NR
15912,55057,Biodyne Peoria,Peoria,IL,61517,,SERC,22,Central Illinois Light Co,NR
15912,55058,Biodyne Lansing,Cook,IL,60438,,RFC,22,Commonwealth Edison Co,NR
15912,55059,Biodyne Springfield,Sangamon,IL,62707,,SERC,22,Central Illinois Light Co,NR
15912,55060,Biodyne Lyons,Cook,IL,60525,,RFC,22,Commonwealth Edison Co,NR
15917,54886,Saint Mary of Nazareth Hospital,Cook,IL,60622,N/A,RFC,622,Commonwealth Edison Co,NR
15927,52063,Martinez Sulfuric Acid Regeneration Plt,Contra Costa,CA,94553,Contra Costa Canal,WECC,325188,Pacific Gas & Electric Co,NR
15927,52064,Rhodia Dominguez Plant,Los Angeles,CA,90810,Dominguez Wolver District,WECC,325188,Southern California Edison Co,NR
15927,52065,Rhodia Houston Plant,Harris,TX,77012,Municipal,ERCOT,325188,"CenterPoint Energy Houston Electric, LLC",NR
15941,50054,Rice University,Harris,TX,77005,City Of Houston,ERCOT,611,"CenterPoint Energy Houston Electric, LLC",NR
15943,2154,Rich Hill,Bates,MO,64779,,SPP,22,,RE
15950,50268,Hewittville Hydroelectric,ST Lawrence,NY,13668,Hydroelectric Raquette River,NPCC,22,Niagara Mohawk Power Corp,NR
15950,50269,Unionville Hydro Project 2499 NY,St Lawrence,NY,13668,Hydroelectric - Raquette River,NPCC,22,Niagara Mohawk Power Corp,NR
15951,10728,Barker Lower,Androscoggin,ME,4210,Little Androscoggin,NPCC,22,Central Maine Power Co,NR
15951,50688,Gardiner,Kennebec,ME,4345,Cobbosseconlee River,NPCC,22,Central Maine Power Co,NR
15951,50699,Pumpkin Hill,Kennebec,ME,4417,Passadunnkeag River,NPCC,22,Bangor Hydro-Electric Co,NR
15951,52171,Barker Mill Upper,Androscoggin,ME,4210,Little Androscoggin,NPCC,22,Central Maine Power Co,NR
15951,54123,Mechanic Falls,Androscoggin,ME,4256,Little Androscoggin,NPCC,22,Central Maine Power Co,NR
15951,54124,Pittsfield,Waldo,ME,4967,Sebasticook River,NPCC,22,Central Maine Power Co,NR
15986,10767,Rio Bravo Fresno,Fresno,CA,93725,Municipality,WECC,22,Pacific Gas & Electric Co,NR
15988,55187,Channelview Cogeneration Plant,Harris,TX,77530,Equistar Chemicals,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
15989,1040,Whitewater Valley,Wayne,IN,47375,East Fork Of Whitewater River,RFC,22,,RE
15998,3130,Seward,Indiana,PA,15944,Conemaugh River,RFC,22,Pennsylvania Electric Co,NR
16001,52024,Rhode Island Hospital,Providence,RI,2903,Municipality,NPCC,622,The Narragansett Electric Co,NR
16002,10769,Rio Bravo Poso,Kern,CA,93380,Wells,WECC,22,Pacific Gas & Electric Co,NR
16008,55428,Markham Energy Storage Center,Matagorda,TX,77414,N/A,ERCOT,22,AEP Texas Central Company,NR
16008,55456,Napoleonville Energy Storage Center,,LA,70341,,SERC,22,Entergy New Orleans Inc,NR
16024,54464,Riverwood International Macon Mill,Bibb,GA,31206,Ocmulgee River,SERC,322,Georgia Power Co,NR
16031,334,Riverside Canal Power,San Bernardino,CA,92313,Wells1,WECC,22,Southern California Edison Co,NR
16045,55820,RCWMD Badlands Landfill Gas Project,Riverside,CA,92555,,WECC,22,Southern California Edison Co,NR
16061,10768,Rio Bravo Jasmin,Kern,CA,93308,Municipality,WECC,22,Southern California Edison Co,NR
