GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US34009,34009,"Cape May County, New Jersey",96630,*****
0500000US34011,34011,"Cumberland County, New Jersey",139968,*****
0500000US34013,34013,"Essex County, New Jersey",769628,*****
0500000US34015,34015,"Gloucester County, New Jersey",271709,*****
0500000US34017,34017,"Hudson County, New Jersey",594071,*****
0500000US34019,34019,"Hunterdon County, New Jersey",126116,*****
0500000US34021,34021,"Mercer County, New Jersey",345118,*****
0500000US34023,34023,"Middlesex County, New Jersey",768696,*****
0500000US34025,34025,"Monmouth County, New Jersey",625874,*****
0500000US34027,34027,"Morris County, New Jersey",481139,*****
0500000US34029,34029,"Ocean County, New Jersey",550447,*****
0500000US34031,34031,"Passaic County, New Jersey",487756,*****
0500000US34033,34033,"Salem County, New Jersey",65124,*****
0500000US34035,34035,"Somerset County, New Jersey",314960,*****
0500000US34037,34037,"Sussex County, New Jersey",151443,*****
0500000US34039,34039,"Union County, New Jersey",523649,*****
0500000US34041,34041,"Warren County, New Jersey",108910,*****
0500000US35001,35001,"Bernalillo County, New Mexico",592570,*****
0500000US35013,35013,"Dona Ana County, New Mexico",184089,*****
0500000US35031,35031,"McKinley County, New Mexico",71059,*****
0500000US35043,35043,"Sandoval County, New Mexico",106765,*****
0500000US35045,35045,"San Juan County, New Mexico",124994,*****
0500000US35049,35049,"Santa Fe County, New Mexico",137758,*****
0500000US35061,35061,"Valencia County, New Mexico",67135,1943
0500000US36001,36001,"Albany County, New York",280570,*****
0500000US36005,36005,"Bronx County, New York",1309640,*****
0500000US36007,36007,"Broome County, New York",186680,*****
0500000US36009,36009,"Cattaraugus County, New York",79201,*****
0500000US36011,36011,"Cayuga County, New York",77016,*****
0500000US36013,36013,"Chautauqua County, New York",129887,*****
0500000US36015,36015,"Chemung County, New York",84117,*****
0500000US36019,36019,"Clinton County, New York",75053,*****
0500000US36027,36027,"Dutchess County, New York",276889,*****
0500000US36029,36029,"Erie County, New York",898981,*****
0500000US36045,36045,"Jefferson County, New York",107710,*****
0500000US36047,36047,"Kings County, New York",2446016,*****
0500000US36053,36053,"Madison County, New York",65407,*****
0500000US36055,36055,"Monroe County, New York",704993,*****
0500000US36059,36059,"Nassau County, New York",1310076,*****
0500000US36061,36061,"New York County, New York",1529774,*****
0500000US36063,36063,"Niagara County, New York",212573,*****
0500000US36065,36065,"Oneida County, New York",219249,*****
0500000US36067,36067,"Onondaga County, New York",444328,*****
0500000US36069,36069,"Ontario County, New York",101340,*****
0500000US36071,36071,"Orange County, New York",359089,*****
0500000US36075,36075,"Oswego County, New York",118560,*****
0500000US36079,36079,"Putnam County, New York",98303,*****
0500000US36081,36081,"Queens County, New York",2215339,*****
0500000US36083,36083,"Rensselaer County, New York",150163,*****
0500000US36085,36085,"Richmond County, New York",455344,*****
0500000US36087,36087,"Rockland County, New York",285088,*****
0500000US36089,36089,"St. Lawrence County, New York",100042,*****
0500000US36091,36091,"Saratoga County, New York",210554,*****
0500000US36093,36093,"Schenectady County, New York",144344,*****
0500000US36101,36101,"Steuben County, New York",97041,*****
0500000US36103,36103,"Suffolk County, New York",1444642,*****
0500000US36105,36105,"Sullivan County, New York",71914,*****
0500000US36109,36109,"Tompkins County, New York",87080,*****
0500000US36111,36111,"Ulster County, New York",170938,*****
0500000US36113,36113,"Warren County, New York",64276,*****
0500000US36117,36117,"Wayne County, New York",91951,*****
0500000US36119,36119,"Westchester County, New York",915916,*****
0500000US37001,37001,"Alamance County, North Carolina",136552,*****
0500000US37019,37019,"Brunswick County, North Carolina",88396,*****
0500000US37021,37021,"Buncombe County, North Carolina",211759,*****
0500000US37023,37023,"Burke County, North Carolina",85727,*****
0500000US37025,37025,"Cabarrus County, North Carolina",147939,*****
0500000US37027,37027,"Caldwell County, North Carolina",77918,*****
0500000US37035,37035,"Catawba County, North Carolina",149294,*****
0500000US37045,37045,"Cleveland County, North Carolina",95778,*****
0500000US37049,37049,"Craven County, North Carolina",86369,*****
0500000US37051,37051,"Cumberland County, North Carolina",284231,*****
0500000US37057,37057,"Davidson County, North Carolina",152670,*****
0500000US37063,37063,"Durham County, North Carolina",232573,*****
0500000US37067,37067,"Forsyth County, North Carolina",315856,*****
0500000US37071,37071,"Gaston County, North Carolina",193162,*****
0500000US37081,37081,"Guilford County, North Carolina",429603,*****
0500000US37085,37085,"Harnett County, North Carolina",100634,*****
0500000US37089,37089,"Henderson County, North Carolina",95381,*****
0500000US37097,37097,"Iredell County, North Carolina",139249,*****
0500000US37101,37101,"Johnston County, North Carolina",144621,*****
0500000US37109,37109,"Lincoln County, North Carolina",68947,*****
0500000US37119,37119,"Mecklenburg County, North Carolina",780618,*****
0500000US37125,37125,"Moore County, North Carolina",79938,*****
0500000US37127,37127,"Nash County, North Carolina",89157,*****
0500000US37129,37129,"New Hanover County, North Carolina",174861,*****
0500000US37133,37133,"Onslow County, North Carolina",125251,*****
0500000US37135,37135,"Orange County, North Carolina",108104,*****
0500000US37147,37147,"Pitt County, North Carolina",136271,*****
0500000US37151,37151,"Randolph County, North Carolina",136953,*****
0500000US37155,37155,"Robeson County, North Carolina",123921,*****
