,Plant State,AER Fuel Code,m,b,Rsq,Std Error
100,KY,OTH,2.024919566801281e-05,-0.04048894824526484,0.2222028500501096,1.1980257098353827e-05
101,KY,PC,-0.0025303273838008823,5.107567449112161,0.959685073509779,0.00016400054136623057
102,KY,RFO,0.0,0.0,0.0,0.0
103,KY,SUN,0.0,0.0,0.0,0.0
104,KY,WND,0.0,0.0,0.0,0.0
105,KY,WOC,0.0,0.0,0.0,0.0
106,KY,WOO,1.4341821659722115e-06,-0.0028755021054738556,0.2117703523193003,9.223098917088831e-07
107,KY,WWW,-1.9246639137155993e-05,0.04215508692533927,0.017667855823178192,4.5382890999821016e-05
108,NE,COL,0.0010412703327511057,-1.426976950418509,0.007647735658180955,0.0037508525618356937
109,NE,DFO,5.007632651845999e-06,-0.009290691933514141,0.004301569848251072,2.4092556387388096e-05
110,NE,GEO,0.0,0.0,0.0,0.0
111,NE,HPS,0.0,0.0,0.0,0.0
112,NE,HYC,0.0031283212409908287,-6.261640798521638,0.6811220231673608,0.0006768791630457075
113,NE,MLG,3.5172422771132516e-05,-0.06941625949798748,0.32916485921021565,1.587827994256326e-05
114,NE,NG,-0.0010719325948284478,2.1710241682438545,0.20530118842936593,0.0006669189028374146
115,NE,NUC,-0.009966948768311584,20.292823233927557,0.42519054604919215,0.003664648941628137
116,NE,OOG,-2.3644188183638673e-07,0.00047574363044896955,0.3698073099630669,1.0912602816206749e-07
117,NE,ORW,-5.121160609891141e-06,0.010764401989343605,0.09652172185040364,4.95466988250489e-06
118,NE,OTH,0.0,0.0,0.0,0.0
119,NE,PC,0.0,0.0,0.0,0.0
120,NE,RFO,-2.3104355935073527e-05,0.046482013437114306,0.18818325244774065,1.8137748036220222e-05
121,NE,SUN,0.0,0.0,0.0,0.0
122,NE,WND,0.006852456888082018,-13.743978980930766,0.8360862621053259,0.0009594634718079588
123,NE,WOC,0.0,0.0,0.0,0.0
124,NE,WOO,0.0,0.0,0.0,0.0
125,NE,WWW,0.0,0.0,0.0,0.0
126,AK,COL,-0.0022468153975919547,4.597660848173563,0.3961990865185544,0.0008771170220916822
127,AK,DFO,-0.0016350872550716696,3.3388565983268235,0.19133505634299117,0.0010629870343680373
128,AK,GEO,0.0,0.0,0.0,0.0
129,AK,HPS,0.0,0.0,0.0,0.0
130,AK,HYC,0.003654071302841276,-7.1300715429832735,0.2592021573248809,0.0019534736889810903
131,AK,MLG,0.0007714402156254467,-1.548184477150135,0.5666364630381521,0.0002133419202430553
132,AK,NG,-0.006160995276020123,12.932887771310112,0.47823101428595305,0.0020350315064850354
133,AK,NUC,0.0,0.0,0.0,0.0
134,AK,OOG,1.089944178446026e-05,-0.021837155359037026,0.06642228264695577,1.292178755588747e-05
135,AK,ORW,-3.32167262875579e-05,0.06764611734709071,0.13802235577497826,2.6250048560891464e-05
136,AK,OTH,0.0,0.0,0.0,0.0
137,AK,PC,0.0,0.0,0.0,0.0
138,AK,RFO,-0.004791203178726473,9.65789498458323,0.7800518466371165,0.0008045314273875398
139,AK,SUN,0.0,0.0,0.0,0.0
140,AK,WND,0.0023800355111632874,-4.775944045959833,0.6472252687575637,0.0005556539929402464
141,AK,WOC,0.0026487202155757905,-5.309633011590867,0.5426281645545422,0.0007689881176733476
142,AK,WOO,0.005408217322638366,-10.821482577524876,0.5221480634770037,0.0016360778847940847
143,AK,WWW,-9.504631052855307e-06,0.019110064595378222,0.6778376337311953,2.675064158992757e-06
144,NM,COL,-0.02196702818997203,44.87636333015676,0.939991383070422,0.001755157845949439
145,NM,DFO,7.510041722069352e-05,-0.14957908958608862,0.6292868037955035,1.8227917752882e-05
146,NM,GEO,1.9971784084003148e-05,-0.04008587237235914,0.42495882418266034,7.346710186458442e-06
147,NM,HPS,0.0,0.0,0.0,0.0
148,NM,HYC,-0.00022620479734616398,0.45979004057893397,0.1974962005101792,0.00014419360086316126
149,NM,MLG,0.0,0.0,0.0,0.0
150,NM,NG,0.015810724825163356,-31.56350202151745,0.9093648757525274,0.0015784504729459894
151,NM,NUC,0.0,0.0,0.0,0.0
152,NM,OOG,0.0,0.0,0.0,0.0
153,NM,ORW,1.0171246965302876e-05,-0.01998126018533914,0.03180295448127847,1.8706868242962742e-05
154,NM,OTH,-7.699392776141889e-07,0.0015545074015030473,0.013084112149532708,2.228964551978365e-06
155,NM,PC,0.0,0.0,0.0,0.0
156,NM,RFO,0.0,0.0,0.0,0.0
157,NM,SUN,0.0016819399113483411,-3.375015516359756,0.7558100275026244,0.00030232082527454143
158,NM,WND,0.004580730552339677,-9.158635837008317,0.9371532760272566,0.00037512046201949715
159,NM,WOC,0.0,0.0,0.0,0.0
160,NM,WOO,0.0,0.0,0.0,0.0
161,NM,WWW,0.0,0.0,0.0,0.0
162,NY,COL,-0.014542975672453383,29.317268875284917,0.9360919674056797,0.0012016327112986998
163,NY,DFO,-0.00020172094551611992,0.4085240793923289,0.2393209935230415,0.00011372640525498556
164,NY,GEO,0.0,0.0,0.0,0.0
165,NY,HPS,0.0002707837276179403,-0.5483246280883582,0.8409603973767602,3.723809291291909e-05
166,NY,HYC,0.000950348535508437,-1.7225068868941855,0.10506458404823504,0.0008771029760746843
167,NY,MLG,0.0002938511184130773,-0.5793570285360992,0.7312976643579339,5.6326916268812785e-05
168,NY,NG,0.019460024502589126,-38.77029498520165,0.8625510072765229,0.002456528291381797
169,NY,NUC,0.0026977449730286145,-5.11341541892162,0.5277095757352663,0.0008070639983439872
170,NY,OOG,0.0,0.0,0.0,0.0
171,NY,ORW,-6.312914286970259e-06,0.012730321520737956,0.22288373501951605,3.72763777151335e-06
172,NY,OTH,-3.219289533160674e-06,0.013081214677781743,0.001607127664993818,2.537380424142462e-05
173,NY,PC,-0.0003544892260116314,0.714495235349869,0.12153188310909031,0.00038908573025212353
174,NY,RFO,-0.011609294895106577,23.367313431886735,0.6219719442313056,0.0028620845674274726
175,NY,SUN,6.0072461117902586e-05,-0.12054223022127236,0.7300475264720547,1.1551636482587945e-05
176,NY,WND,0.0029046090880406484,-5.821596781481266,0.9712923093468092,0.0001579108043540245
177,NY,WOC,-3.3056470927519716e-06,0.006646199176449311,0.6317469831741435,2.5238181268186986e-06
178,NY,WOO,4.7345889608088815e-05,-0.09430307714873877,0.22661375949867843,2.7659056653465574e-05
179,NY,WWW,0.00010407564405793891,-0.20519061481667966,0.3953038485814315,4.0705415123677604e-05
180,WA,COL,-0.004792307570398379,9.69819750214423,0.5963169184520541,0.001246884975660054
181,WA,DFO,-6.830751747429992e-06,0.013892661586980133,0.10185975616109989,6.4141522464121215e-06
182,WA,GEO,0.0,0.0,0.0,0.0
183,WA,HPS,4.20124576562089e-06,-0.00815015558405261,0.0046133560759289306,1.9514862881818206e-05
184,WA,HYC,-0.0024292474734015678,5.595582527783251,0.044723062804145876,0.003550345654459561
