Year,Plant State,AER Fuel Code,Fuel Consumption MWh
2001,OK,MLG,0.0
2001,OK,PC,0.0
2001,OK,SUN,0.0
2001,OK,HPS,0.006097701672275038
2001,OK,GEO,0.0
2001,OK,ORW,0.0
2001,OK,OTH,0.0
2001,OK,WOO,0.0
2001,OK,WWW,0.0038219799049931617
2001,OK,WND,0.0
2001,OK,OOG,0.0033130844795359765
2001,OK,WOC,0.0
2001,AR,HYC,0.05234376100043078
2001,AR,COL,0.5241841032668909
2001,AR,DFO,0.0009607519787914415
2001,AR,NG,0.05730837306962875
2001,AR,NUC,0.30681571046672224
2001,AR,RFO,0.017700852011441098
2001,AR,MLG,0.0
2001,AR,PC,0.0
2001,AR,SUN,0.0
2001,AR,HPS,0.0
2001,AR,GEO,0.0
2001,AR,ORW,0.00016478962469096777
2001,AR,OTH,1.3597290977685527e-05
2001,AR,WOO,4.4457575354526187e-05
2001,AR,WWW,0.040463603715071475
2001,AR,WND,0.0
2001,AR,OOG,0.0
2001,AR,WOC,0.0
2001,IL,HYC,0.0007709905865358348
2001,IL,COL,0.45746925107751485
2001,IL,DFO,0.0008600991871290202
2001,IL,NG,0.026446119615888785
2001,IL,NUC,0.49961232759651397
2001,IL,RFO,0.009049060063083739
2001,IL,MLG,0.004491690283427659
2001,IL,PC,6.887594473342862e-05
2001,IL,SUN,0.0
2001,IL,HPS,0.0
2001,IL,GEO,0.0
2001,IL,ORW,0.00037863016149512546
2001,IL,OTH,8.796065609309988e-05
2001,IL,WOO,0.0
2001,IL,WWW,0.0
2001,IL,WND,0.0
2001,IL,OOG,0.0007649948275849173
2001,IL,WOC,0.0
2001,WI,HYC,0.032530712696378195
2001,WI,COL,0.7104669023088906
2001,WI,DFO,0.001838934792326436
2001,WI,NG,0.03775607312813513
2001,WI,NUC,0.1848367694347443
2001,WI,RFO,0.0013435222639597343
2001,WI,MLG,0.006104743736017059
2001,WI,PC,0.005621199230699281
2001,WI,SUN,0.0
2001,WI,HPS,0.0
2001,WI,GEO,0.0
2001,WI,ORW,7.886377115498303e-05
2001,WI,OTH,0.0024966298314931376
2001,WI,WOO,7.090001779962096e-06
2001,WI,WWW,0.015769589958125836
2001,WI,WND,0.001148968846294758
2001,WI,OOG,0.0
2001,WI,WOC,0.0
2001,CO,HYC,0.031124120566247495
2001,CO,COL,0.7699494854478143
2001,CO,DFO,0.00424366646479374
2001,CO,NG,0.1742129649861757
2001,CO,NUC,0.0
2001,CO,RFO,9.47138122638383e-06
2001,CO,MLG,0.0
2001,CO,PC,0.0
2001,CO,SUN,0.0
2001,CO,HPS,0.018040121685205825
2001,CO,GEO,0.0
2001,CO,ORW,0.0012024704390017312
2001,CO,OTH,0.0
2001,CO,WOO,1.594013308525449e-05
2001,CO,WWW,0.0
2001,CO,WND,0.0012017588964491305
2001,CO,OOG,0.0
2001,CO,WOC,0.0
2001,WY,HYC,0.01852320803557506
2001,WY,COL,0.9576965081710249
2001,WY,DFO,0.0008404398396867718
2001,WY,NG,0.012749106649119166
2001,WY,NUC,0.0
2001,WY,RFO,3.385372546367212e-05
2001,WY,MLG,0.0
2001,WY,PC,0.0
2001,WY,SUN,0.0
2001,WY,HPS,0.0
2001,WY,GEO,0.0
2001,WY,ORW,0.0
2001,WY,OTH,0.002516119723858992
2001,WY,WOO,0.0
2001,WY,WWW,0.0
2001,WY,WND,0.007502932577999704
2001,WY,OOG,0.00013783127727177386
2001,WY,WOC,0.0
2001,CT,HYC,0.009335466574981357
2001,CT,COL,0.11806055828009528
2001,CT,DFO,0.0019347300427191617
2001,CT,NG,0.1067164119660393
2001,CT,NUC,0.5082350636047169
2001,CT,RFO,0.16827914100952293
2001,CT,MLG,0.045224705050060814
2001,CT,PC,0.0
2001,CT,SUN,0.0
2001,CT,HPS,0.0
2001,CT,GEO,0.0
2001,CT,ORW,0.0
2001,CT,OTH,0.04204279527975724
2001,CT,WOO,0.00010374388343675966
2001,CT,WWW,0.0
2001,CT,WND,0.0
2001,CT,OOG,6.738430867065288e-05
2001,CT,WOC,0.0
2001,MA,HYC,0.018673248865322387
2001,MA,COL,0.2778285218444959
2001,MA,DFO,0.008301965153769257
2001,MA,NG,0.26336212740835585
2001,MA,NUC,0.13877997654003105
2001,MA,RFO,0.22069228186725104
2001,MA,MLG,0.05037506491937039
2001,MA,PC,0.0
2001,MA,SUN,0.0
2001,MA,HPS,-0.01864733741045789
2001,MA,GEO,0.0
2001,MA,ORW,0.0016940336274024977
2001,MA,OTH,0.03449571597227898
2001,MA,WOO,7.542289771184371e-05
2001,MA,WWW,0.0043689783144681815
2001,MA,WND,0.0
2001,MA,OOG,0.0
2001,MA,WOC,0.0
2001,VT,HYC,0.15700380632591443
2001,VT,COL,0.0
2001,VT,DFO,0.008751505003186305
2001,VT,NG,0.002018191449658567
2001,VT,NUC,0.7484524123640703
2001,VT,RFO,0.0
2001,VT,MLG,0.0
2001,VT,PC,0.0
2001,VT,SUN,0.0
2001,VT,HPS,0.0
2001,VT,GEO,0.0
2001,VT,ORW,0.0
2001,VT,OTH,0.0
2001,VT,WOO,0.0
2001,VT,WWW,0.08161970393417549
2001,VT,WND,0.0021543809229948433
2001,VT,OOG,0.0
2001,VT,WOC,0.0
2001,DE,HYC,0.0
2001,DE,COL,0.482542068689807
2001,DE,DFO,0.024729822407505646
2001,DE,NG,0.2236937039537476
2001,DE,NUC,0.0
2001,DE,RFO,0.22872094510045515
2001,DE,MLG,0.0
2001,DE,PC,0.005530852393055527
2001,DE,SUN,0.0
2001,DE,HPS,0.0
2001,DE,GEO,0.0
2001,DE,ORW,0.0
2001,DE,OTH,0.0
2001,DE,WOO,0.0
2001,DE,WWW,0.0
2001,DE,WND,0.0
2001,DE,OOG,0.03478260745542894
2001,DE,WOC,0.0
2001,MD,HYC,0.02398640050294702
2001,MD,COL,0.5549068398893611
2001,MD,DFO,0.01112262046631671
2001,MD,NG,0.036447832845748894
2001,MD,NUC,0.2796916288466407
2001,MD,RFO,0.05569439210762813
2001,MD,MLG,0.013519861159552697
2001,MD,PC,0.0
2001,MD,SUN,0.0
2001,MD,HPS,0.0
2001,MD,GEO,0.0
2001,MD,ORW,0.0
2001,MD,OTH,0.009595918839797405
2001,MD,WOO,0.0
2001,MD,WWW,0.0002531074713396641
2001,MD,WND,0.0
2001,MD,OOG,0.014781397870667758
2001,MD,WOC,0.0
2001,DC,HYC,0.0
2001,DC,COL,0.0
2001,DC,DFO,0.14459690966058686
2001,DC,NG,0.0
2001,DC,NUC,0.0
2001,DC,RFO,0.855403090339413
2001,DC,MLG,0.0
2001,DC,PC,0.0
2001,DC,SUN,0.0
2001,DC,HPS,0.0
2001,DC,GEO,0.0
2001,DC,ORW,0.0
2001,DC,OTH,0.0
2001,DC,WOO,0.0
2001,DC,WWW,0.0
2001,DC,WND,0.0
2001,DC,OOG,0.0
2001,DC,WOC,0.0
2001,GA,HYC,0.01830845193244152
2001,GA,COL,0.5956797656396329
2001,GA,DFO,0.0036747196406001956
2001,GA,NG,0.03376725698168334
2001,GA,NUC,0.2851285104238526
2001,GA,RFO,0.0041094837263769834
2001,GA,MLG,0.00024319104899567215
2001,GA,PC,0.004009086201981897
2001,GA,SUN,0.0
2001,GA,HPS,0.022327710599029785
2001,GA,GEO,0.0
2001,GA,ORW,3.28278177917495e-05
2001,GA,OTH,7.423748366197596e-05
2001,GA,WOO,0.00012133799641644602
2001,GA,WWW,0.03252039577268689
2001,GA,WND,0.0
2001,GA,OOG,0.0
2001,GA,WOC,3.0247348475296327e-06
2001,MO,HYC,0.013671366261092742
2001,MO,COL,0.8291030213138659
2001,MO,DFO,0.0021882965676725606
2001,MO,NG,0.033321245544676255
2001,MO,NUC,0.10490850556544853
2001,MO,RFO,1.3468822255805201e-06
2001,MO,MLG,0.0
2001,MO,PC,0.006302228496328758
2001,MO,SUN,0.0
2001,MO,HPS,0.00973794650800921
2001,MO,GEO,0.0
2001,MO,ORW,0.0001054198966151657
2001,MO,OTH,0.00066062296406514
2001,MO,WOO,0.0
2001,MO,WWW,0.0
2001,MO,WND,0.0
2001,MO,OOG,0.0
2001,MO,WOC,0.0
2001,HI,HYC,0.009251309974760764
2001,HI,COL,0.14462970293867625
2001,HI,DFO,0.1620521424860516
2001,HI,NG,0.0
2001,HI,NUC,0.0
2001,HI,RFO,0.6000139164161703
2001,HI,MLG,0.03276040947924517
2001,HI,PC,0.0
2001,HI,SUN,0.0
2001,HI,HPS,0.0
2001,HI,GEO,0.019463204472020514
2001,HI,ORW,0.0010419355267504368
2001,HI,OTH,0.022968147520004145
2001,HI,WOO,0.004744704821658809
2001,HI,WWW,0.0
2001,HI,WND,0.0002001978836140556
2001,HI,OOG,0.0028743284810482145
2001,HI,WOC,0.0
2001,ID,HYC,0.7086776412103125
2001,ID,COL,0.01036211418764028
2001,ID,DFO,0.0003856438867803353
2001,ID,NG,0.21409360144767225
2001,ID,NUC,0.0
2001,ID,RFO,0.0
2001,ID,MLG,0.0
2001,ID,PC,0.0
2001,ID,SUN,0.0
2001,ID,HPS,0.0
2001,ID,GEO,0.0
2001,ID,ORW,0.0
2001,ID,OTH,0.01197328143002386
2001,ID,WOO,0.0
2001,ID,WWW,0.05450771783757093
2001,ID,WND,0.0
2001,ID,OOG,0.0
2001,ID,WOC,0.0
2001,ME,HYC,0.14827405536480018
2001,ME,COL,0.02583144112291343
2001,ME,DFO,0.0031638424775075743
2001,ME,NG,0.38771510399702047
2001,ME,NUC,0.0
2001,ME,RFO,0.1217606795104741
2001,ME,MLG,0.02068370802289188
2001,ME,PC,0.0
2001,ME,SUN,0.0
2001,ME,HPS,0.0
2001,ME,GEO,0.0
2001,ME,ORW,0.004248818186387616
2001,ME,OTH,0.025165961956149112
2001,ME,WOO,0.0
2001,ME,WWW,0.26315638936185576
2001,ME,WND,0.0
2001,ME,OOG,0.0
2001,ME,WOC,0.0
2001,IN,HYC,0.004593324007022883
2001,IN,COL,0.9424053396463348
2001,IN,DFO,0.0017410606314376936
2001,IN,NG,0.02541761671983044
2001,IN,NUC,0.0
2001,IN,RFO,0.0010395064965184417
2001,IN,MLG,0.001055828243281952
2001,IN,PC,0.0015051326236664325
2001,IN,SUN,0.0
2001,IN,HPS,0.0
2001,IN,GEO,0.0
2001,IN,ORW,2.1398007512650984e-05
2001,IN,OTH,0.00014897203876412308
2001,IN,WOO,1.705858412606227e-07
2001,IN,WWW,0.0
2001,IN,WND,0.0
2001,IN,OOG,0.022071650999789184
2001,IN,WOC,0.0
