,State,Sector,m,b,Rsq,Std Error
133,Missouri , residential,0.19020798777554065,-372.31477461907855,0.7798885485707195,0.028026064815656733
134,Missouri , commercial,0.14767098367378942,-288.57333180387815,0.733455803330344,0.02469000243304965
135,Missouri , industrial,0.07215669905190639,-138.98436490542338,0.6849334149562322,0.013573191517166553
136,Missouri , transportation,,,,
137,Missouri , other,,,,
138,Nebraska , all sectors,0.1721938260986685,-337.92320856008223,0.8878830015412068,0.01697085646724181
139,Nebraska , residential,0.1838176512354634,-359.70677053066873,0.8820173412820459,0.018646016482651073
140,Nebraska , commercial,0.14992528526077553,-293.14184408689687,0.8753934613673159,0.01568815872241365
141,Nebraska , industrial,0.22475626471425206,-445.1369678663726,0.9392256731799906,0.015856788389990835
142,Nebraska , transportation,,,,
143,Nebraska , other,,,,
144,North Dakota , all sectors,0.1321880000182721,-257.78774040798686,0.8857095903100127,0.013169812043304861
145,North Dakota , residential,0.10397168942477558,-200.01835268508987,0.7779475872617024,0.015406216754521798
146,North Dakota , commercial,0.11322427447104065,-219.4719143532529,0.7098910546030869,0.020074862468537607
147,North Dakota , industrial,0.215380842125181,-426.2969685050627,0.9097973575338227,0.018809302417649578
148,North Dakota , transportation,,,,
149,North Dakota , other,,,,
150,South Dakota , all sectors,0.10263222439986591,-197.66569022725457,0.7163921415997605,0.01791000838255117
151,South Dakota , residential,0.10952316393403931,-210.09045795714462,0.6321079611088225,0.02317388620623178
152,South Dakota , commercial,0.08638375140550318,-165.29684701454218,0.4753610284345731,0.025169748216298832
153,South Dakota , industrial,0.12694969369395276,-248.60187849792442,0.8597020235154399,0.014223671393685043
154,South Dakota , transportation,,,,
155,South Dakota , other,,,,
156,South Atlantic , all sectors,0.14171943896731673,-274.8101409308539,0.582253453394087,0.03329339979475976
157,South Atlantic , residential,0.14330260021719096,-276.35822277743466,0.6351652611660332,0.030122229842791587
158,South Atlantic , commercial,0.11204085821785498,-215.42483910575177,0.41653872069039294,0.03677757426957618
159,South Atlantic , industrial,0.10522162332956905,-204.74783229915084,0.5659960663186528,0.025554856585835235
160,South Atlantic , transportation,,,,
161,South Atlantic , other,,,,
162,Delaware , all sectors,0.2317412312708898,-454.09601672674177,0.32715657239396567,0.09217450552416796
163,Delaware , residential,0.2510914649181994,-490.8701661197777,0.3654050843846642,0.09177434115673255
164,Delaware , commercial,0.13359464342828645,-257.3380179376429,0.13547154070572892,0.09360153720215617
165,Delaware , industrial,0.19567073826213463,-384.22438132067657,0.2699518423828732,0.08924560010741045
166,Delaware , transportation,,,,
167,Delaware , other,,,,
168,District Of Columbia , all sectors,0.2646966261945042,-519.3531525805477,0.34605566501761326,0.10091927899035853
169,District Of Columbia , residential,0.29932678323447254,-588.5890047233339,0.49741676767833315,0.08344833759895418
170,District Of Columbia , commercial,0.270223080780472,-530.391012959826,0.3408727003375991,0.10421717679877682
171,District Of Columbia , industrial,-0.11045579329002927,231.12230314922962,0.012902258809351667,0.2679563339555779
172,District Of Columbia , transportation,,,,
173,District Of Columbia , other,,,,
174,Florida , all sectors,0.08035934710768206,-150.3736685420507,0.12732539046478328,0.05834899568453652
175,Florida , residential,0.07790503192229951,-144.3959066875483,0.12704146689879153,0.05663930179863951
176,Florida , commercial,0.06624841967355084,-122.82908794055389,0.08104572178380096,0.061870802836801346
177,Florida , industrial,0.12563558446415563,-243.9820553254101,0.2511739815738833,0.06016502842392309
178,Florida , transportation,,,,
179,Florida , other,,,,
180,Georgia , all sectors,0.16288717372677256,-317.81557221898925,0.7600667124815065,0.025382512437329904
181,Georgia , residential,0.17045909461676156,-331.414458556815,0.8445516775148548,0.020282823275140773
182,Georgia , commercial,0.15890333727396627,-309.540117589893,0.7756505036737661,0.023702319728789133
