"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.PRICE.US-ALL.A&columnchart=ELEC.PRICE.US-ALL.A&map=ELEC.PRICE.US-ALL.A&freq=A&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Oct 24 2017 21:59:13 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Middle Atlantic : industrial","cents per kilowatthour","ELEC.PRICE.MAT-IND.A",6.08,5.89,6.49,6.62,7.29,7.77,7.78,8.30,8.04,8.40,8.17,7.49,7.27,7.61,7.32,7.02
"Middle Atlantic : transportation","cents per kilowatthour","ELEC.PRICE.MAT-TRA.A","--","--",8.94,8.02,10.21,10.84,10.35,11.61,11.97,12.33,12.32,12.50,12.23,12.28,11.72,10.89
"Middle Atlantic : other","cents per kilowatthour","ELEC.PRICE.MAT-OTH.A",9.08,9.15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Jersey","cents per kilowatthour","ELEC.PRICE.NJ-ALL.A",,,,,,,,,,,,,,,,
"New Jersey : all sectors","cents per kilowatthour","ELEC.PRICE.NJ-ALL.A",9.36,9.30,9.48,10.29,10.89,11.88,13.01,14.43,14.53,14.68,14.30,13.68,13.69,13.95,13.74,13.49
"New Jersey : residential","cents per kilowatthour","ELEC.PRICE.NJ-RES.A",10.21,10.38,10.67,11.23,11.74,12.84,14.14,15.66,16.31,16.57,16.23,15.78,15.73,15.78,15.81,15.75
"New Jersey : commercial","cents per kilowatthour","ELEC.PRICE.NJ-COM.A",9.09,8.90,9.11,9.96,10.61,11.62,12.99,14.03,13.84,13.89,13.47,12.78,12.77,13.15,12.79,12.42
"New Jersey : industrial","cents per kilowatthour","ELEC.PRICE.NJ-IND.A",8.33,7.72,7.99,9.03,9.76,10.42,10.08,12.54,11.89,11.81,11.43,10.52,10.80,11.38,10.64,10.14
"New Jersey : transportation","cents per kilowatthour","ELEC.PRICE.NJ-TRA.A","--","--",7.15,10.94,7.65,9.70,11.14,13.23,12.50,11.73,10.69,9.77,10.60,10.43,10.25,8.74
"New Jersey : other","cents per kilowatthour","ELEC.PRICE.NJ-OTH.A",11.21,14.81,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New York","cents per kilowatthour","ELEC.PRICE.NY-ALL.A",,,,,,,,,,,,,,,,
"New York : all sectors","cents per kilowatthour","ELEC.PRICE.NY-ALL.A",11.55,11.16,12.44,12.55,13.95,15.27,15.22,16.47,15.44,16.41,15.89,15.15,15.44,16.25,15.28,14.53
"New York : residential","cents per kilowatthour","ELEC.PRICE.NY-RES.A",14.04,13.55,14.31,14.54,15.72,16.89,17.10,18.31,17.50,18.74,18.26,17.62,18.79,20.07,18.54,17.59
"New York : commercial","cents per kilowatthour","ELEC.PRICE.NY-COM.A",12.87,12.33,12.93,12.98,14.36,15.51,15.92,16.79,15.48,16.31,15.81,15.06,15.35,16.12,15.31,14.47
"New York : industrial","cents per kilowatthour","ELEC.PRICE.NY-IND.A",5.56,5.18,7.14,7.04,8.23,9.39,8.71,9.39,8.37,8.79,7.83,6.70,6.58,6.58,6.31,6.04
"New York : transportation","cents per kilowatthour","ELEC.PRICE.NY-TRA.A","--","--",9.38,7.92,11.39,11.94,10.96,12.64,13.13,13.74,13.45,14.20,13.65,13.82,12.95,12.05
"New York : other","cents per kilowatthour","ELEC.PRICE.NY-OTH.A",8.77,8.68,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pennsylvania","cents per kilowatthour","ELEC.PRICE.PA-ALL.A",,,,,,,,,,,,,,,,
"Pennsylvania : all sectors","cents per kilowatthour","ELEC.PRICE.PA-ALL.A",8.01,8.06,8.02,8.00,8.27,8.68,9.08,9.33,9.60,10.31,10.45,9.91,9.81,10.28,10.31,10.26
"Pennsylvania : residential","cents per kilowatthour","ELEC.PRICE.PA-RES.A",9.68,9.74,9.59,9.58,9.86,10.35,10.95,11.35,11.65,12.70,13.26,12.75,12.79,13.32,13.64,14.03
"Pennsylvania : commercial","cents per kilowatthour","ELEC.PRICE.PA-COM.A",8.62,8.50,8.62,8.51,8.50,8.94,9.20,9.39,9.55,10.10,10.03,9.44,9.25,9.73,9.60,9.25
"Pennsylvania : industrial","cents per kilowatthour","ELEC.PRICE.PA-IND.A",5.76,5.83,5.80,5.87,6.29,6.63,6.87,7.03,7.21,7.66,7.73,7.23,6.97,7.41,7.20,6.92
